name,quantity,unit,price,currency,date,reseller,zipcode
Jever Pilsener,"20 x 0,5",L,"14,99",€,18/08/2024,Flaschenpost,22159
Jever Pilsener,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Ratsherrn Pilsener,"20 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Warsteiner Premium Pilsener,"20 x 0,5",L,"14,99",€,18/08/2024,Flaschenpost,22159
Warsteiner Premium Pilsener,"24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Astra Urtyp,"27 x 0,33",L,"15,99",€,18/08/2024,Flaschenpost,22159
Astra Urtyp,"20 x 0,5",L,"15,99",€,18/08/2024,Flaschenpost,22159
Krombacher Pils,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Krombacher Pils,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Radeberger Pilsner,"20 x 0,5",L,"18,99",€,18/08/2024,Flaschenpost,22159
Radeberger Pilsner,"24 x 0,33",L,"18,99",€,18/08/2024,Flaschenpost,22159
Holsten Pilsener,"20 x 0,5",L,"16,99",€,18/08/2024,Flaschenpost,22159
Holsten Pilsener,"24 x 0,33",L,"16,99",€,18/08/2024,Flaschenpost,22159
Heineken,"28 x 0,25",L,"21,99",€,18/08/2024,Flaschenpost,22159
Heineken,"20 x 0,4",L,"22,49",€,18/08/2024,Flaschenpost,22159
Beck's Pils,"20 x 0,5",L,"19,99",€,18/08/2024,Flaschenpost,22159
Beck's Pils,"24 x 0,33",L,"19,99",€,18/08/2024,Flaschenpost,22159
Holsten Edel,"20 x 0,5",L,"16,99",€,18/08/2024,Flaschenpost,22159
Holsten Edel,"27 x 0,33",L,"16,99",€,18/08/2024,Flaschenpost,22159
Lübzer Pils,"20 x 0,5",L,"17,99",€,18/08/2024,Flaschenpost,22159
Lübzer Pils,"24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Dithmarscher Urtyp,"30 x 0,33",L,"16,99",€,18/08/2024,Flaschenpost,22159
Veltins Pilsener,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Veltins Pilsener,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Flensburger Pilsener,"20 x 0,33",L,"17,49",€,18/08/2024,Flaschenpost,22159
Wicküler Pilsener,"24 x 0,33",L,"13,49",€,18/08/2024,Flaschenpost,22159
Wicküler Pilsener,"20 x 0,5",L,Out of stock,,18/08/2024,Flaschenpost,22159
König Pilsener,"20 x 0,5",L,"17,99",€,18/08/2024,Flaschenpost,22159
König Pilsener,"24 x 0,33",L,"17,99",€,18/08/2024,Flaschenpost,22159
Peroni Nastro Azzurro,"24 x 0,33",L,"27,49",€,18/08/2024,Flaschenpost,22159
Hansa Pils,"20 x 0,5",L,"10,99",€,18/08/2024,Flaschenpost,22159
Glucks Pils,"20 x 0,33",L,"13,49",€,18/08/2024,Flaschenpost,22159
Rothaus Pils Tannenzäpfle,"24 x 0,33",L,"20,99",€,18/08/2024,Flaschenpost,22159
Oettinger Pils,"20 x 0,5",L,"12,99",€,18/08/2024,Flaschenpost,22159
Veltins Pilsener Design-Flasche,"20 x 0,33",L,"16,99",€,18/08/2024,Flaschenpost,22159
Dithmarscher Bügel Pilsener,"20 x 0,33",L,"15,99",€,18/08/2024,Flaschenpost,22159
Bitburger Premium Pils,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Bitburger Premium Pils,"24 x 0,33",L,"18,49",€,18/08/2024,Flaschenpost,22159
Jever Light,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Störtebeker Pilsener-Bier,"20 x 0,5",L,"18,99",€,18/08/2024,Flaschenpost,22159
Duckstein Original,"8 x 0,5",L,"16,99",€,18/08/2024,Flaschenpost,22159
Mönchshof Original,"20 x 0,5",L,"18,49",€,18/08/2024,Flaschenpost,22159
Ratsherrn Mildes,"20 x 0,33",L,"20,49",€,18/08/2024,Flaschenpost,22159
Veltins Helles Lager,"6 x 0,275",L,"5,99",€,18/08/2024,Flaschenpost,22159
BRLO Happy Pils,"24 x 0,33",L,"26,99",€,18/08/2024,Flaschenpost,22159
