name,quantity,unit,price,currency,date,reseller,zipcode
Veltins V+ Curuba,"24 x 0,33",L,"14,99",€,24/08/2024,Flaschenpost,22159
Veltins Radler,"24 x 0,33",L,"14,99",€,24/08/2024,Flaschenpost,22159
Veltins V+ Energy,"24 x 0,33",L,"14,99",€,24/08/2024,Flaschenpost,22159
Glucks Radler Naturtrüb,"20 x 0,33",L,"13,49",€,24/08/2024,Flaschenpost,22159
Mönchshof Natur Radler,"20 x 0,5",L,"18,49",€,24/08/2024,Flaschenpost,22159
Gösser Natur Radler,"20 x 0,5",L,"22,49",€,24/08/2024,Flaschenpost,22159
Astra Kiezmische,"27 x 0,33",L,"17,99",€,24/08/2024,Flaschenpost,22159
Krombacher NaturRadler,"24 x 0,33",L,"17,99",€,24/08/2024,Flaschenpost,22159
Erdinger Brauhaus Natur Radler,"20 x 0,5",L,"20,99",€,24/08/2024,Flaschenpost,22159
Schöfferhofer Weizen-Biermix Mixkiste,"4 x 6 x 0,33",L,"24,99",€,24/08/2024,Flaschenpost,22159
Schöfferhofer Weizen-Mix Grapefruit,"24 x 0,33",L,"17,99",€,24/08/2024,Flaschenpost,22159
Frankenheim Blue,"24 x 0,33",L,"16,99",€,24/08/2024,Flaschenpost,22159
Krombacher Almradler,"4 x 6 x 0,33",L,"19,99",€,24/08/2024,Flaschenpost,22159
Mönchshof Naturradler Blutorange,"20 x 0,5",L,"18,49",€,24/08/2024,Flaschenpost,22159
Veltins V+ Berry-X,"4 x 6 x 0,33",L,"19,99",€,24/08/2024,Flaschenpost,22159
Warsteiner Naturradler,"4 x 6 x 0,33",L,"18,99",€,24/08/2024,Flaschenpost,22159
Bitburger Radler Naturtrüb,"24 x 0,33",L,"18,49",€,24/08/2024,Flaschenpost,22159
Veltins V+ Sprizz,"4 x 6 x 0,33",L,"19,99",€,24/08/2024,Flaschenpost,22159
Allgäuer Büble Radler,"20 x 0,5",L,"19,99",€,24/08/2024,Flaschenpost,22159
Cyberz Limez,"6 x 4 x 0,33",L,"32,99",€,24/08/2024,Flaschenpost,22159
Astra Rakete,"27 x 0,33",L,Out of stock,,24/08/2024,Flaschenpost,22159
