name,quantity,unit,price,currency,date,reseller,zipcode
Vitamalz,"20 x 0,5",L,"15,49",€,24/08/2024,Flaschenpost,22159
Vitamalz,"24 x 0,33",L,"14,99",€,24/08/2024,Flaschenpost,22159
Oettinger Malz,"20 x 0,5",L,"12,99",€,24/08/2024,Flaschenpost,22159
Boltens Malz,"20 x 0,5",L,"15,99",€,24/08/2024,Flaschenpost,22159
Vitamalz Das Leichte,"4 x 6 x 0,33",L,"15,99",€,24/08/2024,Flaschenpost,22159
