name,quantity,unit,price,currency,date,reseller,zipcode
Grevensteiner Original,"20 x 0,33",L,"13,99",€,13/08/2024,Flaschenpost,22159
Grevensteiner Original,"16 x 0,5",L,"17,49",€,13/08/2024,Flaschenpost,22159
Aktien Zwick'l Kellerbier,"20 x 0,5",L,"19,99",€,13/08/2024,Flaschenpost,22159
Mönchshof Kellerbier,"20 x 0,5",L,"18,49",€,13/08/2024,Flaschenpost,22159
Ratsherrn Altes Mädchen Zwickel,"20 x 0,33",L,"20,49",€,13/08/2024,Flaschenpost,22159
Altenmünster Landbier,"14 x 0,5",L,"15,49",€,13/08/2024,Flaschenpost,22159
"Störtebeker Bio Keller-Bier ""1402""","20 x 0,5",L,"22,99",€,13/08/2024,Flaschenpost,22159
Hacker-Pschorr Kellerbier,"20 x 0,5",L,"20,99",€,13/08/2024,Flaschenpost,22159
