name,quantity,unit,price,currency,date,reseller,zipcode
Pott's Landbier,"20 x 0,33",L,"16,49",€,24/08/2024,Flaschenpost,22159
Grevensteiner Original,"16 x 0,5",L,"17,49",€,24/08/2024,Flaschenpost,22159
Grevensteiner Original,"20 x 0,33",L,"16,99",€,24/08/2024,Flaschenpost,22159
Mönchshof Kellerbier,"20 x 0,5",L,"18,49",€,24/08/2024,Flaschenpost,22159
Aktien Zwick'l Kellerbier,"20 x 0,5",L,"19,99",€,24/08/2024,Flaschenpost,22159
"Störtebeker Bio Keller-Bier ""1402""","20 x 0,5",L,"22,99",€,24/08/2024,Flaschenpost,22159
Altenmünster Landbier,"14 x 0,5",L,Out of stock,,24/08/2024,Flaschenpost,22159
